yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200702,1406.82,25.290666666666667,82.60333333333332,0.2861484941676455,0.050300000000000004,0.053899999999999997,0.06280000000000001,0.0477,-0.015140723772533025,0.0038,0.005350367559876723,0.0335,0.0287,0.001476815008,,-0.019288,-0.021598
200703,1420.86,25.494,83.14999999999999,0.2690500134610926,0.049400000000000006,0.053,0.06269999999999999,0.0493,-0.012486207333879515,0.0043,0.009105695851085338,-0.0145,-0.0231,0.0015875509920000004,,0.010894,0.009679
200704,1482.37,25.71933333333333,83.74024810490764,0.25445616893961986,0.0487,0.0547,0.0639,0.0489,-0.008911661925613677,0.0044,0.006496162686508988,0.0085,0.014,0.0005821436950000001,,0.043991,0.042857
200705,1530.62,25.944666666666663,84.33049620981528,0.2439114941253988,0.0473,0.0547,0.0639,0.051,-0.010283147487292154,0.0040999999999999995,0.006110718674704696,-0.02,-0.0178,0.0006965496190000001,,0.034459,0.032154
200706,1503.35,26.169999999999998,84.92074431472292,0.24789560997351326,0.0461,0.0579,0.067,0.0521,-0.011064108257571826,0.004,0.0019379751766057662,-0.0091,-0.0148,0.0014724290329999998,,-0.01662,-0.017829
200707,1455.27,26.43933333333333,82.81407764805627,0.25158496439999195,0.0482,0.057300000000000004,0.0665,0.0501,-0.015261556239454145,0.004,-0.0002543772078021922,0.0284,-0.0032,0.0024262621089999998,,-0.031197,-0.032283
200708,1473.99,26.708666666666666,80.7074109813896,0.24883985118762977,0.042,0.0579,0.0665,0.0487,-0.012197567081880075,0.0042,-0.0018339022270870142,0.0199,0.0152,0.005134044114,,0.015094,0.012859
200709,1526.75,26.978,78.60074431472293,0.23920743671233688,0.038900000000000004,0.0574,0.0659,0.0489,-0.01301503256928347,0.0032,0.002755907405358915,0.0012,0.0135,0.001868431408,,0.037468,0.035923
200710,1549.38,27.229333333333333,74.46074431472293,0.2386170601315469,0.039,0.056600000000000004,0.06480000000000001,0.048,-0.01795410099031676,0.0032,0.002139191328121237,0.0155,0.0088,0.001682891171,,0.01736,0.016292
200711,1481.14,27.480666666666664,70.32074431472293,0.2485796916031034,0.0327,0.054400000000000004,0.064,0.0445,-0.025158594875820547,0.0034000000000000002,0.005939617873415681,0.0468,0.0079,0.005636820058,,-0.041382,-0.043581
200712,1468.36,27.732,66.18074431472293,0.2505829731427226,0.03,0.054900000000000004,0.0665,0.045,-0.040636970068561894,0.0027,-0.000670863129647814,-0.0029,0.0028,0.0023453329829999994,,-0.006116,-0.007903
200801,1378.55,27.921999999999997,64.25074431472294,0.2627544223091714,0.0275,0.0533,0.0654,0.0436,-0.043177118625881736,0.0021,0.004970576472604682,0.0213,0.0017,0.004831798632000001,,-0.061166,-0.062332
200802,1330.63,28.112,62.32074431472294,0.2709793210392829,0.0212,0.0553,0.0682,0.0438,-0.04960708938865012,0.0013,0.0029041121849535667,0.0018,-0.0071,0.0032256550690000006,,-0.031419,-0.033693
200803,1322.7,28.302,60.39074431472294,0.25405756718033023,0.0126,0.055099999999999996,0.0689,0.0432,-0.05183139775080654,0.0017000000000000001,0.008668212930989627,0.0106,-0.0059,0.006337648871000001,,-0.0034,-0.005054
200804,1385.59,28.438666666666666,57.38382954314862,0.24301469641883508,0.0129,0.0555,0.0697,0.0458,-0.04884518860770885,0.0018,0.006064778389719416,-0.0288,0.0091,0.0029036913849999992,,0.048629,0.04749
200805,1400.38,28.575333333333333,54.376914771574306,0.24651061216997197,0.0173,0.0557,0.0693,0.0475,-0.04546124393991885,0.0018,0.00842088603175628,-0.0164,-0.0277,0.0016406620900000003,,0.012986,0.010708
200806,1280.0,28.712000000000003,51.37,0.2744913881133144,0.018600000000000002,0.056799999999999996,0.0707,0.046,-0.04737564430176349,0.0017000000000000001,0.010076996934894167,0.022,-0.0061,0.0034251768430000004,,-0.082842,-0.084569
200807,1267.38,28.759333333333338,49.56333333333333,0.27381565509640515,0.0163,0.0567,0.0716,0.0465,-0.04693137714354738,0.0015,0.005251011128121874,-0.0025,-0.0109,0.00446591099,,-0.007306,-0.008738
