TICKER,date,PRC,VOL,RET,vwretd,ewretd
TXN,20140331,47.16,1408368.0,0.048932,0.004544,0.001028
TXN,20140430,45.45,1550554.0,-0.029898,0.001569,-0.022319
TXN,20140530,46.98,1130226.0,0.033663,0.02026,0.006647
TXN,20140630,47.79,858845.0,0.017241,0.027991,0.039501
TXN,20140731,46.25,1356096.0,-0.025947,-0.020568,-0.035236
TXN,20140829,48.18,985978.0,0.041730,0.040226,0.033707
TXN,20140930,47.69,989277.0,-0.010170,-0.025208,-0.044988
TXN,20141031,49.66,2432345.0,0.048438,0.021172,0.014177
TXN,20141128,54.42,947604.0,0.095852,0.021114,-0.002458
TXN,20141231,53.465,1209964.0,-0.017549,-0.003661,-0.000181
TXN,20150130,53.45,1178018.0,0.006079,-0.027207,-0.019077
TXN,20150227,58.8,1038102.0,0.100094,0.055999,0.054161
TXN,20150331,57.185,1128419.0,-0.027466,-0.01041,-0.00511
TXN,20150430,54.21,1212678.0,-0.046079,0.008776,0.015129
TXN,20150529,55.92,1052238.0,0.031544,0.010269,0.003983
TXN,20150630,51.51,1173717.0,-0.078863,-0.019272,-0.01348
TXN,20150731,49.98,1962162.0,-0.023102,0.012063,-0.027158
TXN,20150831,47.84,1875249.0,-0.042817,-0.059979,-0.047287
TXN,20150930,49.52,1632910.0,0.035117,-0.033831,-0.049928
TXN,20151030,56.72,1886472.0,0.153069,0.07404,0.05288
TXN,20151130,58.12,957011.0,0.024683,0.002426,0.00734
TXN,20151231,54.81,1169491.0,-0.056951,-0.022288,-0.035903
TXN,20160129,52.93,1726537.0,-0.027367,-0.05718,-0.074949
TXN,20160229,53.02,1400303.0,0.001700,0.000604,0.005587
TXN,20160331,57.42,908378.0,0.082988,0.070581,0.07819
TXN,20160429,57.04,1063576.0,0.000000,0.011737,0.039878
TXN,20160531,60.6,1031661.0,0.062412,0.014269,-0.000625
TXN,20160630,62.65,1177329.0,0.033828,0.002926,0.005826
TXN,20160729,69.75,1379901.0,0.119393,0.038846,0.049896
TXN,20160831,69.54,983407.0,-0.003011,0.0028,0.013063
TXN,20160930,70.18,954363.0,0.009203,0.00302,0.015381
TXN,20161031,70.85,1048131.0,0.009547,-0.021586,-0.039942
TXN,20161130,73.93,1169661.0,0.050529,0.040546,0.050511
TXN,20161230,72.97,1037296.0,-0.012985,0.018768,0.015881
TXN,20170131,75.54,1224154.0,0.042072,0.022177,0.025942
TXN,20170228,76.62,945361.0,0.014297,0.032632,0.017117
TXN,20170331,80.56,1129011.0,0.051423,0.002095,0.00641
TXN,20170428,79.18,967178.0,-0.010924,0.009628,0.003691
