datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20200331,2020,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,18561.76,5469.418,63.139,63.139,112.492,1225.36,154.079,279.238,12964.928,29.993,0,0,5469.418,2212.772,,344.09,0.27,A,8525.7687,4911
20200630,2020,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,19307.388,5489.562,6.763,6.763,112.555,375.751,152.482,275.028,13696.911,193.585,0,0,5489.562,2263.534,,685.798,1.99,A,8249.156,4911
20200930,2020,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,19751.421,5841.386,181.926,181.926,112.59,146.989,152.696,266.22,13784.246,346.372,0,0,5841.386,2350.976,,984.54,5.06,A,8393.5845,4911
20201231,2020,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,20020.421,5633.503,59.968,59.968,112.688,243.785,155.121,282.57,14267.628,-19.391,0,0,5633.503,2326.775,,1345.114,4.89,A,9009.4056,4911
20210331,2021,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,20184.658,5682.516,17.202,17.202,112.748,289.078,157.82,278.226,14377.978,35.641,0,0,5682.516,2325.313,,368.769,0.32,A,9172.0498,4911
20210630,2021,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,21061.578,5717.624,14.146,14.146,112.784,783.373,158.75,279.911,15226.679,215.697,0,0,5717.624,2379.889,,691.341,2.23,A,9244.9045,4911
20210930,2021,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,21536.424,6064.883,25.688,25.688,112.816,405.078,163.523,273.243,15349.96,339.798,0,0,6064.883,2472.404,,1021.897,5.24,A,8163.3658,4911
20100331,2010,1,ABT,ABBOTT LABORATORIES,AA,53358.622,20860.099,3692.073,1566.82,1543.565,6448.52,562.501,25671.055,32346.282,1003.015,0,0,20860.099,,2844.767,245.143,0.65,A,81315.0042,3845
20100630,2010,2,ABT,ABBOTT LABORATORIES,AA,53381.402,19911.709,6243.714,4321.702,1544.029,5868.394,675.202,24484.497,33386.768,1291.65,0,0,19911.709,,3416.116,518.657,1.48,A,72229.6766,3845
20100930,2010,3,ABT,ABBOTT LABORATORIES,AA,57373.62,21403.932,5721.758,3818.145,1545.816,5806.372,677.024,28454.213,35890.896,890.66,0,0,21403.932,,3286.204,723.742,2.06,A,80753.4278,3845
